1. Bayern Munich;Bundesliga;43;19.9;17;1;62.9;88.8;12.8;7.16
2. Paris Saint-Germain;Ligue 1;34;16.6;17;0;68.0;90.6;7;7.04
3. Bayer Leverkusen;Bundesliga;37;16.3;23;0;60.6;88.9;9.6;6.98
4. Manchester City;Premier League;33;16.5;23;2;62.3;90.2;7.9;6.96
5. Real Madrid;LaLiga;31;17.5;26;1;57.3;89.7;8.4;6.93
6. Inter;Serie A;30;16.3;17;0;55.6;86.4;15.2;6.89
7. VfB Stuttgart;Bundesliga;31;15.9;16;0;57.7;85.7;15.9;6.86
8. Atletico Madrid;LaLiga;30;13.5;25;1;52.8;84.7;12.7;6.84
9. Barcelona;LaLiga;27;15.4;33;1;66.7;89.2;12.1;6.81
10. Newcastle;Premier League;31;13.2;37;0;53.3;84.4;10.8;6.80
11. Tottenham;Premier League;25;16.2;34;3;60.3;88.0;8.8;6.80
12. Arsenal;Premier League;27;14.5;17;2;61.1;87.2;13.3;6.79
13. Liverpool;Premier League;28;17.3;23;4;57.1;86.1;14.4;6.79
14. Monaco;Ligue 1;27;14.7;31;0;55.2;83.4;11.2;6.78
15. RB Leipzig;Bundesliga;29;14.5;19;0;57.9;84.4;12.8;6.78
16. Napoli;Serie A;26;17.9;23;1;58.5;86.8;11.1;6.77
17. Aston Villa;Premier League;31;14.9;32;0;52.3;86.2;8.2;6.76
18. Juventus;Serie A;20;13.8;35;0;47.5;83.5;13.6;6.76
19. Lille;Ligue 1;17;12.5;28;1;57.1;85.4;11.7;6.76
20. Girona;LaLiga;32;13.7;32;0;56.8;87.0;11.8;6.75
